Applicant_ID,Age,Gender,Annual_Income,Monthly_Income,Employment_Status,Occupation,Loan_Amount,Loan_Term,Interest_Rate,Credit_Score,Existing_Debt,Number_of_Credit_Cards,Number_of_Previous_Loans,Loan_Purpose,Property_Ownership,Marital_Status,Dependents,Savings_Balance,Checking_Balance,Payment_History,Previous_Defaults,Years_at_Current_Job,Loan_Default
100024,59,Male,108592.2,9049.35,Self-Employed,Unemployed,52026.99,12,7.47,713,16195.83,4,4,Personal,Owned,Married,4,42156.43,18030.36,Fair,2,11,0
100025,52,Female,95784.75,7982.06,Retired,Engineer,262044.07,240,5.89,792,10103.18,8,5,Medical,Mortgaged,Divorced,2,32849.4,11708.69,Good,1,24,0
100026,40,Female,181112.02,15092.67,Self-Employed,Teacher,300651.4,12,20.63,611,55101.91,2,1,Home,Owned,Married,4,59988.7,8172.18,Fair,2,34,0
100027,61,Other,92456.72,7704.73,Self-Employed,Doctor,127028.71,36,6.5,333,70932.99,7,1,Business,Owned,Divorced,3,44386.91,29837.76,Fair,2,12,0
100028,47,Female,123740.44,10311.7,Employed,Clerk,306832.99,36,19.77,575,36686.72,9,0,Home,Rented,Divorced,1,63824.89,25677.74,Excellent,0,13,0
100029,42,Female,136670.7,11389.22,Unemployed,Engineer,450046.99,360,15.53,515,52451.63,4,4,Personal,Owned,Single,0,59508.32,11237.68,Excellent,2,32,0
100030,43,Female,19475.44,1622.95,Employed,Driver,2475.76,24,14.17,548,939.01,9,5,Business,Rented,Widowed,0,78809.52,38683.97,Fair,3,12,0
100031,32,Male,120602.34,10050.2,Employed,Engineer,116009.02,240,17.4,329,52663.27,8,1,Home,Mortgaged,Married,1,64869.27,32413.56,Excellent,1,29,0
100032,25,Male,85690.41,7140.87,Employed,Unemployed,106539.94,36,16.93,474,17875.7,7,5,Personal,Mortgaged,Divorced,4,5343.98,5072.09,Fair,3,31,0
100033,48,Other,101362.43,8446.87,Employed,Teacher,63695.33,120,5.54,850,19257.67,3,0,Personal,Rented,Divorced,2,62366.34,6502.54,Good,3,20,0
100034,64,Other,35558.92,2963.24,Employed,Clerk,84718.4,12,21.99,325,675.91,3,6,Medical,Mortgaged,Divorced,2,51976.26,21761.91,Excellent,1,2,0
100035,24,Other,175478.22,14623.18,Employed,Driver,313704.45,48,20.92,803,104457.08,8,5,Education,Mortgaged,Married,2,7183.23,4095.18,Fair,3,2,0
100036,63,Female,208192.87,17349.41,Employed,Clerk,53141.81,120,20.09,585,139692.57,4,5,Medical,Mortgaged,Single,1,48439.14,38573.52,Good,3,9,0
100037,61,Male,19565.11,1630.43,Self-Employed,Driver,369788.74,180,15.01,622,93231.83,0,5,Business,Mortgaged,Single,4,60064.29,25520.94,Poor,3,0,1
100038,34,Other,138281.42,11523.45,Employed,Doctor,443737.25,240,13.17,814,14430.31,7,2,Business,Rented,Widowed,0,15775.56,2646.96,Excellent,1,26,0
100039,51,Female,171588.03,14299.0,Self-Employed,Unemployed,463440.69,240,13.42,420,148447.42,3,7,Education,Mortgaged,Single,3,34792.93,17739.43,Excellent,2,22,1
100040,29,Male,73385.56,6115.46,Employed,Clerk,330767.56,84,3.78,842,146337.78,9,5,Auto,Owned,Single,5,43398.9,8878.74,Excellent,2,15,0
100041,58,Other,176448.89,14704.07,Self-Employed,Unemployed,100303.41,48,12.74,452,70235.18,8,1,Business,Rented,Widowed,5,33052.22,19618.03,Excellent,1,28,0
100042,55,Other,144632.79,12052.73,Employed,Clerk,44477.69,36,15.04,492,16180.38,1,7,Personal,Mortgaged,Single,2,70080.38,9881.02,Fair,2,4,0
100043,38,Other,205478.34,17123.2,Unemployed,Unemployed,117548.43,360,15.69,547,108110.9,9,5,Home,Rented,Married,5,13512.26,33271.85,Good,3,17,0
100044,24,Male,216105.99,18008.83,Employed,Driver,481054.68,120,9.64,631,144220.23,9,2,Education,Mortgaged,Married,1,61724.44,28843.97,Excellent,0,11,0
100045,68,Other,23680.95,1973.41,Employed,Engineer,481247.91,360,12.22,477,116804.94,7,7,Home,Owned,Divorced,1,62247.3,36263.13,Poor,3,0,1
100046,42,Female,106212.24,8851.02,Employed,Doctor,192195.6,60,15.27,737,93630.43,2,1,Education,Rented,Divorced,2,35842.4,7918.3,Excellent,1,16,0
100047,64,Female,127132.5,10594.38,Employed,Unemployed,164244.19,60,11.42,311,91624.79,6,5,Personal,Rented,Divorced,0,43158.24,15415.69,Good,3,5,0
100048,54,Other,45082.36,3756.86,Employed,Engineer,255985.27,240,21.3,667,146687.72,8,5,Personal,Owned,Divorced,1,12285.0,32218.66,Poor,0,1,0
100049,59,Female,83938.6,6994.88,Self-Employed,Driver,147260.67,180,16.55,661,10967.9,8,7,Home,Rented,Widowed,5,15612.61,14953.86,Fair,3,7,0
100050,58,Male,217467.73,18122.31,Retired,Engineer,489871.9,36,3.52,594,22433.4,4,4,Personal,Owned,Divorced,4,42533.18,15163.54,Good,1,6,0
100051,30,Male,18327.24,1527.27,Self-Employed,Unemployed,112168.25,84,3.93,637,124621.72,7,7,Home,Rented,Divorced,1,17974.46,39441.54,Poor,3,21,1
100052,38,Female,107764.13,8980.34,Employed,Driver,185833.06,36,16.27,711,21766.96,3,2,Home,Mortgaged,Widowed,1,64517.23,30834.53,Good,1,27,0
100053,43,Other,187744.2,15645.35,Employed,Teacher,215826.7,180,11.13,798,57494.47,2,6,Medical,Mortgaged,Single,2,49297.45,34432.7,Excellent,2,17,0
100054,45,Other,81399.76,6783.31,Self-Employed,Driver,64281.88,12,19.03,420,42224.89,6,1,Home,Owned,Widowed,0,4526.29,16278.91,Excellent,2,22,0
100055,23,Female,113358.69,9446.56,Self-Employed,Engineer,192646.76,240,6.7,562,36516.71,4,7,Auto,Owned,Single,0,28630.13,23436.74,Poor,0,3,0
100056,47,Other,215499.38,17958.28,Employed,Clerk,428651.9,360,3.76,609,3858.29,2,6,Home,Rented,Married,5,68674.07,18022.14,Excellent,0,27,0
100057,28,Other,112349.75,9362.48,Retired,Unemployed,71899.78,12,10.68,489,84937.69,6,5,Business,Mortgaged,Single,4,22195.52,18011.74,Fair,2,17,0
100058,57,Female,41838.87,3486.57,Employed,Teacher,292842.93,120,17.12,836,60185.93,3,0,Business,Owned,Divorced,4,57577.43,5107.97,Excellent,1,14,0
100059,54,Female,25602.91,2133.58,Self-Employed,Teacher,204505.29,12,21.48,581,82738.53,5,3,Medical,Mortgaged,Widowed,1,7504.01,33685.31,Excellent,2,30,0
100060,66,Other,208810.4,17400.87,Retired,Business Owner,86927.29,48,19.85,626,45676.23,3,1,Medical,Rented,Married,5,74442.69,15621.7,Poor,3,10,1
100061,57,Female,69490.93,5790.91,Self-Employed,Business Owner,8143.41,48,12.46,407,141219.13,8,7,Personal,Owned,Divorced,1,35947.65,23272.98,Poor,3,15,1
100062,38,Male,118333.1,9861.09,Employed,Engineer,138124.97,84,18.54,529,88702.08,8,3,Education,Rented,Married,5,39325.25,34282.87,Excellent,0,32,0
100063,68,Other,33593.86,2799.49,Employed,Clerk,32790.82,360,4.8,644,144181.06,4,6,Home,Rented,Widowed,3,45586.41,30939.09,Excellent,1,5,0
100064,41,Female,101849.3,8487.44,Employed,Teacher,189630.7,60,14.09,536,52500.89,7,7,Medical,Mortgaged,Widowed,1,29074.59,7929.52,Fair,0,18,0
100065,36,Female,205671.63,17139.3,Self-Employed,Engineer,405484.51,48,20.6,724,343.43,1,0,Business,Owned,Divorced,4,58022.82,24740.45,Good,2,20,0
100066,65,Other,117994.66,9832.89,Employed,Teacher,360403.26,12,10.83,375,117189.83,9,6,Auto,Rented,Married,2,1166.69,19829.24,Good,2,24,0
100067,39,Other,214082.71,17840.23,Self-Employed,Engineer,473797.09,240,21.26,384,124106.83,2,2,Business,Rented,Widowed,1,12976.34,10406.09,Excellent,3,32,0
100068,24,Male,68061.31,5671.78,Unemployed,Unemployed,214653.68,48,7.58,486,8805.51,8,0,Education,Mortgaged,Single,4,15105.67,1634.32,Poor,1,12,0
100069,44,Female,118431.77,9869.31,Employed,Unemployed,354485.1,60,5.45,475,93805.38,8,2,Education,Mortgaged,Widowed,4,50827.21,25191.65,Excellent,1,4,0
100070,59,Male,191203.81,15933.65,Employed,Business Owner,333340.18,12,13.21,749,99152.68,1,4,Education,Rented,Widowed,3,71248.07,31194.2,Excellent,2,13,0
100071,30,Female,106891.73,8907.64,Employed,Unemployed,110089.06,36,20.28,778,21860.08,0,6,Personal,Owned,Divorced,2,5091.18,37668.74,Good,0,5,0
100072,43,Female,72294.91,6024.58,Employed,Clerk,153184.09,84,9.26,560,82878.68,7,5,Home,Owned,Divorced,1,68196.69,14199.35,Excellent,0,25,0
100073,27,Female,190372.45,15864.37,Employed,Unemployed,265855.11,360,18.3,578,36479.83,8,1,Medical,Mortgaged,Married,2,65561.09,15968.69,Good,2,19,0
100074,54,Other,94927.34,7910.61,Employed,Teacher,398735.34,48,6.63,462,2467.76,7,2,Home,Mortgaged,Married,5,6130.05,6520.23,Good,1,26,0
100075,44,Female,123798.27,10316.52,Employed,Teacher,231982.74,84,17.29,593,130036.66,0,2,Home,Mortgaged,Single,2,11458.27,39384.64,Good,1,11,1
100076,37,Female,215188.05,17932.34,Employed,Driver,115415.29,240,13.8,689,73754.28,6,5,Personal,Mortgaged,Married,5,28003.63,33983.48,Good,3,33,0
100077,32,Female,53229.08,4435.76,Employed,Teacher,496745.91,48,6.74,698,117254.87,3,4,Home,Rented,Divorced,0,9173.57,38304.15,Excellent,0,31,0
100078,48,Male,76787.13,6398.93,Employed,Driver,59558.25,36,16.78,833,108433.95,9,0,Personal,Mortgaged,Married,0,60662.89,19813.89,Poor,3,32,0
100079,53,Male,21369.27,1780.77,Employed,Business Owner,478032.68,12,16.7,618,149055.79,8,0,Personal,Mortgaged,Widowed,1,40325.55,8391.26,Good,2,24,1
100080,67,Other,95326.73,7943.89,Employed,Business Owner,404905.05,360,13.04,487,65693.01,7,0,Education,Rented,Widowed,0,32861.17,22927.38,Good,1,6,0
100081,42,Male,56037.6,4669.8,Employed,Clerk,419768.97,24,7.67,338,64132.59,4,7,Education,Owned,Divorced,5,57995.81,14883.68,Excellent,3,5,1
100082,28,Male,154407.16,12867.26,Self-Employed,Driver,397868.96,36,5.95,679,42263.34,3,4,Medical,Rented,Married,2,23431.63,13914.58,Good,2,33,0
100083,61,Other,52170.9,4347.58,Employed,Engineer,105669.13,24,21.21,742,93772.08,8,3,Personal,Rented,Married,0,69722.51,3294.57,Fair,1,30,0
100084,51,Male,153336.61,12778.05,Employed,Driver,317026.02,180,15.63,604,72916.88,1,6,Business,Mortgaged,Divorced,3,52317.34,2925.97,Fair,1,30,1
100085,55,Female,69012.46,5751.04,Unemployed,Driver,378861.41,48,18.47,808,109314.17,1,1,Home,Mortgaged,Divorced,5,27720.42,15151.94,Fair,1,22,0
100086,25,Other,87819.66,7318.3,Employed,Driver,373351.52,180,16.39,474,53476.75,0,0,Business,Mortgaged,Single,5,43189.82,37047.94,Excellent,3,29,0
100087,36,Female,86516.43,7209.7,Employed,Unemployed,137239.55,120,18.85,329,19626.71,5,2,Home,Owned,Married,0,20755.88,28920.95,Poor,1,17,0
100088,58,Male,161934.11,13494.51,Employed,Driver,92197.46,12,6.51,648,129365.32,0,1,Auto,Mortgaged,Married,4,78798.46,30422.34,Excellent,0,5,0
100089,61,Male,110634.4,9219.53,Employed,Clerk,165405.25,48,12.69,366,124207.04,5,6,Personal,Rented,Married,2,34848.35,9371.63,Excellent,2,8,1
100090,42,Other,89066.27,7422.19,Employed,Clerk,240962.55,12,15.84,346,52650.03,1,6,Education,Mortgaged,Single,5,71741.93,29381.18,Good,3,29,0
100091,60,Male,189787.66,15815.64,Self-Employed,Business Owner,287742.81,12,5.41,686,103552.76,8,5,Medical,Owned,Widowed,3,78241.64,16252.77,Excellent,1,22,0
100092,62,Other,132249.88,11020.82,Self-Employed,Driver,418801.28,60,6.27,539,73860.44,4,7,Medical,Mortgaged,Married,4,42863.4,2375.62,Good,3,34,0
100093,39,Male,58835.32,4902.94,Employed,Business Owner,384979.05,36,15.23,633,114145.81,0,3,Home,Owned,Divorced,5,58399.65,15792.54,Excellent,1,31,1
100094,65,Male,199518.71,16626.56,Employed,Doctor,338722.96,12,19.57,711,58519.86,6,1,Medical,Rented,Single,5,45779.74,5250.15,Fair,1,26,0
100095,35,Other,85243.31,7103.61,Employed,Engineer,133217.67,60,15.72,510,80345.89,3,2,Medical,Mortgaged,Married,0,7325.41,34147.98,Fair,2,1,1
100096,32,Other,22990.77,1915.9,Employed,Business Owner,240482.49,60,4.17,636,8672.42,2,1,Home,Owned,Single,4,76193.44,33611.76,Good,0,6,0
100097,54,Other,116393.05,9699.42,Employed,Teacher,169047.07,360,21.45,597,26236.5,6,7,Education,Mortgaged,Married,0,36530.92,11498.76,Good,3,13,0
100098,52,Other,40407.3,3367.28,Self-Employed,Clerk,118994.23,120,6.08,619,117264.84,9,4,Medical,Mortgaged,Widowed,5,71525.05,24476.89,Good,2,1,1
100099,27,Male,63885.62,5323.8,Unemployed,Clerk,7102.19,48,7.8,687,57234.82,9,6,Home,Mortgaged,Divorced,3,52448.43,14550.39,Fair,1,32,0
100100,61,Other,168157.73,14013.14,Employed,Driver,171052.06,60,21.54,509,5265.81,4,2,Home,Mortgaged,Widowed,1,8415.27,6169.05,Good,0,7,0
100101,30,Other,41804.12,3483.68,Self-Employed,Clerk,129545.9,12,17.76,577,25145.44,8,5,Business,Rented,Married,1,33364.24,25976.29,Good,2,13,0
100102,60,Male,180423.57,15035.3,Employed,Teacher,286807.36,48,20.83,625,61739.7,2,2,Medical,Rented,Widowed,5,15667.85,30404.27,Excellent,2,23,0
100103,21,Male,207065.99,17255.5,Employed,Clerk,33026.28,84,18.42,377,107686.97,8,3,Auto,Owned,Single,3,13588.79,30988.91,Excellent,3,1,0
100104,60,Other,139339.08,11611.59,Unemployed,Engineer,136718.76,12,15.56,416,54522.76,9,5,Personal,Owned,Widowed,1,57207.1,5968.82,Good,1,22,1
100105,59,Male,160623.63,13385.3,Employed,Driver,24295.21,360,8.76,349,111777.86,5,7,Personal,Rented,Divorced,4,2401.6,20503.14,Fair,0,3,1
100106,59,Other,161285.26,13440.44,Self-Employed,Driver,321426.12,84,9.55,409,128709.09,5,4,Home,Mortgaged,Single,4,77291.25,955.97,Fair,1,31,1
100107,53,Male,218525.63,18210.47,Self-Employed,Teacher,284958.4,180,21.02,541,51170.49,5,5,Auto,Owned,Divorced,0,35993.87,3606.78,Poor,3,24,0
100108,44,Male,85015.34,7084.61,Unemployed,Teacher,170065.05,36,19.42,816,120056.34,0,4,Business,Mortgaged,Married,1,39180.61,3242.05,Good,3,11,1
100109,55,Male,48385.59,4032.13,Employed,Engineer,75372.63,240,10.15,808,19032.1,8,3,Education,Owned,Single,5,23954.31,2287.63,Good,1,24,0
100110,34,Male,121429.28,10119.11,Employed,Business Owner,479044.08,48,10.41,720,62292.53,7,7,Auto,Owned,Widowed,2,6849.29,13350.77,Fair,0,10,0
100111,59,Other,124316.21,10359.68,Self-Employed,Engineer,293027.44,360,9.01,607,14634.36,8,7,Auto,Owned,Divorced,0,47059.41,14307.18,Good,0,4,0
100112,48,Other,51472.06,4289.34,Self-Employed,Unemployed,340198.46,84,9.53,411,7879.2,1,2,Business,Owned,Divorced,3,27580.36,27914.81,Good,2,0,1
100113,43,Other,140687.43,11723.95,Employed,Engineer,266611.68,120,19.42,497,9679.11,8,7,Personal,Owned,Divorced,5,49925.81,13195.19,Fair,0,7,0
100114,45,Other,17895.57,1491.3,Self-Employed,Doctor,403653.56,36,3.69,722,15712.8,3,3,Education,Rented,Single,3,44461.58,5615.83,Excellent,2,24,0
100115,48,Male,205172.02,17097.67,Employed,Clerk,448397.26,360,11.57,800,125358.89,8,5,Medical,Mortgaged,Married,5,17352.87,37875.03,Excellent,0,19,0
100116,22,Other,69237.73,5769.81,Employed,Teacher,192589.85,24,20.94,830,81551.57,9,4,Personal,Mortgaged,Divorced,0,36932.31,35019.06,Good,1,9,0
100117,27,Female,23109.84,1925.82,Unemployed,Driver,345632.61,12,13.54,514,142108.23,8,6,Education,Rented,Married,4,24645.04,4969.03,Good,3,24,1
100118,33,Female,37191.14,3099.26,Employed,Engineer,116483.97,60,11.83,568,80700.05,9,6,Personal,Rented,Widowed,3,19177.93,14511.15,Excellent,1,13,0
100119,26,Other,64251.03,5354.25,Employed,Unemployed,326623.81,240,9.28,580,94306.7,1,3,Education,Rented,Married,5,61576.35,6723.39,Excellent,2,5,1
100120,42,Other,71150.76,5929.23,Retired,Driver,200779.5,360,4.87,330,27672.59,3,5,Personal,Owned,Married,3,952.53,38364.46,Excellent,1,23,1
100121,53,Other,21726.05,1810.5,Self-Employed,Doctor,5377.24,240,7.65,364,81087.15,2,4,Medical,Rented,Married,4,21510.63,14239.1,Fair,3,15,0
100122,53,Female,72267.74,6022.31,Unemployed,Unemployed,477852.88,84,5.17,324,57795.38,5,6,Personal,Rented,Single,0,42486.85,3924.7,Poor,1,23,1
100123,44,Female,54553.06,4546.09,Employed,Business Owner,434483.89,360,5.84,706,139715.3,9,1,Home,Owned,Widowed,0,38091.68,29073.76,Poor,3,19,0
100124,62,Other,92617.29,7718.11,Retired,Teacher,146836.6,60,6.53,423,140088.18,6,5,Home,Rented,Single,4,75213.23,28468.7,Fair,3,3,1
100125,48,Male,93959.39,7829.95,Employed,Teacher,498883.14,60,9.09,685,29774.79,5,4,Personal,Rented,Married,0,67492.6,9641.38,Excellent,1,1,0
100126,24,Male,84496.59,7041.38,Employed,Unemployed,159929.58,24,3.7,506,93019.63,8,3,Medical,Rented,Widowed,5,60128.21,12858.47,Excellent,0,3,0
100127,58,Female,82224.4,6852.03,Employed,Business Owner,230504.4,180,21.08,737,95726.37,1,2,Business,Mortgaged,Widowed,0,41126.25,16600.76,Good,3,7,0
100128,49,Male,33394.91,2782.91,Self-Employed,Driver,425927.0,48,5.79,363,84380.26,6,5,Auto,Owned,Single,4,34312.54,10708.0,Good,2,7,1
100129,52,Male,20167.01,1680.58,Unemployed,Business Owner,153688.98,24,10.59,479,18649.46,5,2,Medical,Rented,Married,2,2925.57,11555.51,Fair,3,32,1
100130,48,Other,56433.43,4702.79,Self-Employed,Unemployed,226369.06,48,19.77,412,98102.3,2,0,Education,Mortgaged,Divorced,3,65733.46,32063.62,Excellent,1,27,0
100131,48,Other,170113.13,14176.09,Employed,Unemployed,333462.41,120,5.47,540,119862.79,6,7,Auto,Rented,Divorced,3,34457.03,30074.02,Poor,1,30,0
100132,25,Female,218116.0,18176.33,Employed,Business Owner,66972.84,36,12.45,609,51783.91,8,3,Education,Owned,Married,2,25677.39,27705.17,Good,0,16,0
100133,48,Female,205347.87,17112.32,Employed,Clerk,212330.48,48,19.13,392,77182.76,8,1,Auto,Owned,Divorced,2,48530.75,27470.94,Good,3,11,0
100134,59,Female,118364.97,9863.75,Employed,Driver,156086.15,48,13.8,667,17449.19,8,1,Auto,Rented,Widowed,3,60331.03,20875.28,Poor,3,14,0
100135,35,Other,124023.89,10335.32,Employed,Teacher,339033.6,84,7.39,831,139603.31,8,6,Auto,Mortgaged,Widowed,4,41844.11,14036.85,Good,3,30,0
100136,50,Female,79489.22,6624.1,Employed,Engineer,69712.76,180,17.11,323,16430.68,4,2,Personal,Rented,Widowed,4,11966.65,28821.8,Fair,1,12,0
100137,22,Male,173657.58,14471.46,Unemployed,Business Owner,117900.28,120,16.1,347,31256.57,0,2,Home,Rented,Widowed,2,73731.72,4654.71,Fair,1,22,0
100138,38,Female,171775.12,14314.59,Self-Employed,Doctor,356265.35,24,10.2,824,44771.77,9,3,Education,Mortgaged,Widowed,2,9027.96,5642.82,Fair,1,5,0
100139,42,Female,188075.83,15672.99,Self-Employed,Engineer,79799.74,48,4.36,657,123868.54,4,0,Auto,Owned,Divorced,0,77565.73,5050.61,Fair,0,34,0
100140,69,Other,198578.44,16548.2,Employed,Business Owner,212165.59,120,3.65,806,105098.39,6,4,Business,Rented,Widowed,4,35398.17,29308.72,Good,0,22,0
100141,31,Other,104041.6,8670.13,Employed,Unemployed,357014.6,36,18.77,688,1052.17,0,0,Medical,Rented,Married,1,75729.86,23661.64,Good,1,33,0
100142,34,Other,172209.49,14350.79,Employed,Engineer,383203.26,12,9.45,695,27534.23,8,6,Personal,Mortgaged,Divorced,2,73171.98,18006.42,Fair,2,10,0
100143,41,Female,180311.74,15025.98,Employed,Engineer,49250.83,48,6.05,386,112522.68,8,3,Auto,Rented,Widowed,5,32501.38,19049.25,Good,3,21,0
100144,69,Female,78234.22,6519.52,Employed,Business Owner,426293.81,120,13.09,582,60575.17,9,1,Business,Owned,Single,4,64002.02,33102.37,Good,3,9,0
100145,62,Female,205494.66,17124.56,Employed,Engineer,362538.21,120,20.54,501,3932.03,1,3,Home,Mortgaged,Widowed,2,7181.8,4867.19,Good,2,16,0
100146,22,Male,34340.01,2861.67,Employed,Engineer,170968.71,24,3.66,759,144587.53,8,1,Education,Owned,Widowed,2,6618.74,15329.77,Excellent,3,11,0
100147,32,Other,218825.18,18235.43,Self-Employed,Teacher,382373.82,120,4.54,323,22684.94,6,2,Auto,Mortgaged,Widowed,1,28476.53,30406.65,Good,3,4,1
100148,61,Other,172868.6,14405.72,Employed,Engineer,364692.83,24,11.22,310,76570.0,1,1,Business,Mortgaged,Widowed,3,48782.81,26313.57,Poor,2,15,0
100149,23,Other,34120.54,2843.38,Employed,Driver,301243.83,180,16.01,606,37247.41,5,5,Education,Mortgaged,Single,0,745.69,17405.87,Excellent,3,18,0
100150,62,Male,149527.08,12460.59,Employed,Engineer,280123.62,84,12.31,834,110620.4,4,7,Personal,Owned,Married,5,41214.01,8973.65,Excellent,3,5,0
100151,34,Male,22006.78,1833.9,Employed,Clerk,367882.34,24,20.1,848,116508.91,6,3,Business,Rented,Single,5,78051.75,37857.65,Excellent,0,13,0
100152,65,Other,172888.32,14407.36,Employed,Doctor,499631.43,48,4.32,627,59583.06,0,0,Medical,Mortgaged,Divorced,1,68675.63,16316.77,Good,1,3,0
100153,35,Female,178840.7,14903.39,Employed,Doctor,290119.02,240,9.79,536,98767.44,5,0,Home,Mortgaged,Married,1,18597.65,35113.4,Excellent,3,22,0
100154,42,Other,138494.1,11541.18,Employed,Doctor,404741.5,60,10.0,450,136361.04,6,6,Medical,Rented,Married,3,42245.5,31113.22,Fair,0,10,1
100155,53,Female,190656.38,15888.03,Employed,Business Owner,372648.31,120,9.79,845,122221.37,7,2,Personal,Mortgaged,Divorced,3,13712.7,34461.2,Excellent,2,3,0
100156,27,Female,35066.07,2922.17,Unemployed,Unemployed,428192.58,180,12.52,400,62234.66,7,2,Personal,Rented,Widowed,3,21060.81,676.88,Excellent,1,17,0
100157,48,Female,71564.39,5963.7,Employed,Engineer,477353.38,12,18.13,369,66221.41,6,0,Personal,Owned,Single,0,73840.07,19095.66,Excellent,2,29,1
100158,45,Other,99906.39,8325.53,Employed,Engineer,98155.44,360,9.38,580,133031.74,7,5,Home,Rented,Widowed,4,79822.25,10377.35,Excellent,3,34,1
100159,59,Female,23703.88,1975.32,Employed,Driver,84398.9,48,17.27,516,5155.92,0,0,Auto,Rented,Married,0,19404.88,10960.85,Fair,1,33,0
100160,69,Other,106884.3,8907.02,Employed,Engineer,294003.21,180,6.21,573,3421.74,7,7,Home,Rented,Widowed,2,16965.43,10793.61,Poor,0,6,0
